TC-ID,module,priority,preconditions,steps,expected,actual,status,evidence
TC-ADM-DEL-003,Admin,P1,Tài khoản admin@example.com có role=ADMIN; email notfound@example.com không có trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/notfound@example.com với header Authorization: Bearer <admin_jwt>,HTTP 404 Not Found message=User not found with email: notfound@example.com,Trả về HTTP 404 message=User not found with email: notfound@example.com,PASSED,AdminControllerTest.java:shouldReturn404WhenDeletingNonExistentUser
TC-ADM-DEL-004,Admin,P1,Không có,Gửi HTTP DELETE /api/v1/admin/delete-user/any@example.com không kèm header Authorization,HTTP 401/403 từ chối truy cập unauthenticated,Spring Security chặn với HTTP 403 Forbidden,PASSED,AdminControllerTest.java:shouldRejectUnauthenticatedDelete
TC-FE-STR-001,Frontend-Store,P2,localStorage trống,Khởi tạo Pinia useAuthStore(),token=null user=null loading=false isAuthenticated=false isAdmin=false,Khởi tạo chính xác token=null user=null loading=false isAdmin=false,PASSED,src/stores/__tests__/auth.spec.ts:TC-FE-STR-001
TC-FE-STR-002,Frontend-Store,P1,Mock authService.login và getCurrentUser thành công,Gọi authStore.login('user@example.com' 'pass1234'),token được lưu vào state và localStorage; user profile được nạp; router.push('/dashboard') được gọi,Token lưu localStorage; user profile nạp; router.push gọi với /dashboard,PASSED,src/stores/__tests__/auth.spec.ts:TC-FE-STR-002
TC-FE-STR-003,Frontend-Store,P1,Mock authService.register và getCurrentUser thành công,Gọi authStore.register('Name' 'user@example.com' 'pass1234'),token được lưu vào state và localStorage; user profile được nạp; router.push('/dashboard') được gọi,Token lưu localStorage; user profile nạp; router.push gọi với /dashboard,PASSED,src/stores/__tests__/auth.spec.ts:TC-FE-STR-003
TC-FE-STR-004,Frontend-Store,P1,Store có token nhưng authService.getCurrentUser reject lỗi,Gọi authStore.fetchCurrentUser(),Tự động trigger logout(): token và user bị xóa router.push('/login') được gọi,Tự động gọi logout() dọn sạch token và user; router.push gọi với /login,PASSED,src/stores/__tests__/auth.spec.ts:TC-FE-STR-004
TC-FE-STR-005,Frontend-Store,P1,Store đang có token và user,Gọi authStore.logout(),token=null user=null localStorage xóa token router.push('/login') được gọi,Reset sạch token=null user=null; localStorage sạch; router.push /login,PASSED,src/stores/__tests__/auth.spec.ts:TC-FE-STR-005
TC-FE-RTG-001,Frontend-RouterGuard,P1,authStore.isAuthenticated = false,Chuyển hướng router tới /dashboard hoặc /admin,Navigation guard chặn lại và chuyển hướng về { name: 'login' },Chặn truy cập trái phép điều hướng chính xác về login,PASSED,src/router/__tests__/router.spec.ts:TC-FE-RTG-001
TC-FE-RTG-002,Frontend-RouterGuard,P2,authStore.isAuthenticated = true,Chuyển hướng router tới /login hoặc /register,Navigation guard chặn lại và chuyển hướng về { name: 'dashboard' },Chặn truy cập trang guest điều hướng chính xác về dashboard,PASSED,src/router/__tests__/router.spec.ts:TC-FE-RTG-002
TC-FE-RTG-003,Frontend-RouterGuard,P1,authStore.isAuthenticated = true và authStore.isAdmin = false,Chuyển hướng router tới /admin,Navigation guard chặn lại và chuyển hướng về { name: 'dashboard' },User thường truy cập /admin bị chặn đẩy về dashboard,PASSED,src/router/__tests__/router.spec.ts:TC-FE-RTG-003
TC-FE-RTG-004,Frontend-RouterGuard,P1,authStore.isAuthenticated = true và authStore.isAdmin = true,Chuyển hướng router tới /admin,Navigation guard cho phép truy cập (/admin),Admin truy cập /admin thành công router name=admin,PASSED,src/router/__tests__/router.spec.ts:TC-FE-RTG-004
TC-FE-RTG-005,Frontend-RouterGuard,P2,authStore.isAuthenticated = true và authStore.user = null,Chuyển hướng router tới bất kỳ route nào,Guard gọi await auth.fetchCurrentUser() nạp thông tin user trước khi điều hướng,Tự động gọi fetchCurrentUser nạp hồ sơ trước khi route,PASSED,src/router/__tests__/router.spec.ts:TC-FE-RTG-005
TC-FE-AXI-001,Frontend-AxiosClient,P1,localStorage có token='test-token',Thực thi Axios Request Interceptor,Header Authorization mang giá trị 'Bearer test-token',Gắn chính xác header Authorization: Bearer test-jwt-token,PASSED,src/services/__tests__/api.spec.ts:TC-FE-AXI-001
TC-FE-AXI-002,Frontend-AxiosClient,P2,localStorage không có token,Thực thi Axios Request Interceptor,Header Authorization không được gắn (undefined),Không gắn header Authorization (undefined),PASSED,src/services/__tests__/api.spec.ts:TC-FE-AXI-002
TC-FE-AXI-003,Frontend-AxiosClient,P0,localStorage có token,Thực thi Axios Response Interceptor với lỗi status 401,localStorage xóa token window.location.href='/login' Promise reject error,Xóa token khỏi localStorage gán window.location.href='/login',PASSED,src/services/__tests__/api.spec.ts:TC-FE-AXI-003
TC-FE-AXI-004,Frontend-AxiosClient,P2,localStorage có token='test-token',Thực thi Axios Response Interceptor với lỗi status 403 hoặc 500,Token trong localStorage được giữ nguyên không redirect Promise reject error,Giữ nguyên token trong localStorage không chuyển hướng,PASSED,src/services/__tests__/api.spec.ts:TC-FE-AXI-004
TC-E2E-001,E2E,P0,Frontend và Backend đang chạy bình thường,Vào /register điền form hợp lệ submit chuyển sang /dashboard,Tạo tài khoản thành công chuyển hướng /dashboard hiển thị đúng hồ sơ và vai trò USER,Chưa thực thi do server backend và frontend dev chưa chạy trên localhost,BLOCKED,e2e/auth-flow.spec.ts (Runtime server offline)
TC-E2E-002,E2E,P0,Đăng nhập với tài khoản role=USER đang ở /dashboard,Nhập trực tiếp URL /admin trên trình duyệt,Bị chặn ngay tại router guard và tự động redirect về /dashboard không hiển thị bảng admin,Chưa thực thi do server backend và frontend dev chưa chạy trên localhost,BLOCKED,e2e/auth-flow.spec.ts (Runtime server offline)
TC-E2E-003,E2E,P1,Tài khoản đã tồn tại trong hệ thống,Vào /login đăng nhập thành công vào /dashboard sau đó bấm Đăng xuất,Đăng xuất thành công token bị xóa chuyển hướng về /login không thể back lại dashboard,Chưa thực thi do server backend và frontend dev chưa chạy trên localhost,BLOCKED,e2e/auth-flow.spec.ts (Runtime server offline)
