TC-ID,module,priority,preconditions,steps,expected,actual,status,evidence
TC-AUTH-LOG-002,Auth,P0,Tài khoản user@example.com tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với sai mật khẩu (password=wrongpass),HTTP 401 Unauthorized status=401 message=Email hoặc mật khẩu không chính xác.,Chưa thực thi,PENDING,-
TC-AUTH-LOG-003,Auth,P1,Email nonexistent@example.com không tồn tại trong CSDL,Gửi HTTP POST /api/v1/auth/authenticate với email không tồn tại,HTTP 401 Unauthorized status=401 message=Email hoặc mật khẩu không chính xác.,Chưa thực thi,PENDING,-
TC-AUTH-LOG-004,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với email rỗng,HTTP 400 Bad Request error=Validation Failed details.email,Chưa thực thi,PENDING,-
TC-AUTH-LOG-005,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với password rỗng,HTTP 400 Bad Request error=Validation Failed details.password,Chưa thực thi,PENDING,-
TC-AUTH-LOG-006,Auth,P2,Không có,Gửi HTTP POST /api/v1/auth/authenticate với email sai định dạng (vd: invalid-email),HTTP 400 Bad Request error=Validation Failed details.email=Invalid email format,Chưa thực thi,PENDING,-
TC-USR-PRF-001,User,P0,Người dùng current@example.com tồn tại và sở hữu JWT token hợp lệ,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <valid_jwt>,HTTP 200 OK trả về UserResponse (id name email gender mobile role createdAt updatedAt) không có password hash,Chưa thực thi,PENDING,-
TC-USR-PRF-002,User,P0,Không có,Gửi HTTP GET /api/v1/user/current-user không có header Authorization,HTTP 401/403 do Spring Security từ chối unauthenticated request,Chưa thực thi,PENDING,-
TC-USR-PRF-003,User,P1,Không có,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer malformed.jwt.token,HTTP 401/403 request bị từ chối do JWT không thể parse,Chưa thực thi,PENDING,-
TC-USR-PRF-004,User,P0,Sinh JWT token có thời gian hết hạn (expiration) trong quá khứ,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <expired_jwt>,HTTP 401/403 do ExpiredJwtException bị bắt và SecurityContext rỗng,Chưa thực thi,PENDING,-
TC-USR-PRF-005,User,P2,JWT hợp lệ của tài khoản nhưng bản ghi user trong DB đã bị xóa,Gửi HTTP GET /api/v1/user/current-user với header Authorization: Bearer <token_deleted_user>,HTTP 404 Not Found (UsernameNotFoundException) message báo không tìm thấy user,Chưa thực thi,PENDING,-
TC-ADM-GET-001,Admin,P0,Tài khoản admin@example.com có role=ADMIN và sở hữu JWT hợp lệ,Gửi HTTP GET /api/v1/admin/get-users với header Authorization: Bearer <admin_jwt>,HTTP 200 OK trả về List<UserResponse> danh sách toàn bộ người dùng không chứa password hash,Chưa thực thi,PENDING,-
TC-ADM-GET-002,Admin,P0,Tài khoản normal@example.com có role=USER và sở hữu JWT hợp lệ,Gửi HTTP GET /api/v1/admin/get-users với header Authorization: Bearer <user_jwt>,HTTP 403 Forbidden status=403 message=Bạn không có quyền thực hiện thao tác này.,Chưa thực thi,PENDING,-
TC-ADM-GET-003,Admin,P1,Không có,Gửi HTTP GET /api/v1/admin/get-users không kèm header Authorization,HTTP 401/403 từ chối truy cập unauthenticated,Chưa thực thi,PENDING,-
TC-ADM-DEL-001,Admin,P0,Tài khoản admin@example.com có role=ADMIN; user target@example.com tồn tại trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/target@example.com với header Authorization: Bearer <admin_jwt>,HTTP 200 OK body=User deleted successfully.; bản ghi target@example.com bị xóa khỏi DB,Chưa thực thi,PENDING,-
TC-ADM-DEL-002,Admin,P0,Tài khoản user@example.com có role=USER; user victim@example.com tồn tại trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/victim@example.com với header Authorization: Bearer <user_jwt>,HTTP 403 Forbidden status=403 message=Bạn không có quyền thực hiện thao tác này.; bản ghi victim không bị xóa,Chưa thực thi,PENDING,-
TC-ADM-DEL-003,Admin,P1,Tài khoản admin@example.com có role=ADMIN; email notfound@example.com không có trong DB,Gửi HTTP DELETE /api/v1/admin/delete-user/notfound@example.com với header Authorization: Bearer <admin_jwt>,HTTP 404 Not Found message=User not found with email: notfound@example.com,Chưa thực thi,PENDING,-
TC-ADM-DEL-004,Admin,P1,Không có,Gửi HTTP DELETE /api/v1/admin/delete-user/any@example.com không kèm header Authorization,HTTP 401/403 từ chối truy cập unauthenticated,Chưa thực thi,PENDING,-
TC-FE-STR-001,Frontend-Store,P2,localStorage trống,Khởi tạo Pinia useAuthStore(),token=null user=null loading=false isAuthenticated=false isAdmin=false,Chưa thực thi,PENDING,-
TC-FE-STR-002,Frontend-Store,P1,Mock authService.login và getCurrentUser thành công,Gọi authStore.login('user@example.com' 'pass1234'),token được lưu vào state và localStorage; user profile được nạp; router.push('/dashboard') được gọi,Chưa thực thi,PENDING,-
TC-FE-STR-003,Frontend-Store,P1,Mock authService.register và getCurrentUser thành công,Gọi authStore.register('Name' 'user@example.com' 'pass1234'),token được lưu vào state và localStorage; user profile được nạp; router.push('/dashboard') được gọi,Chưa thực thi,PENDING,-
TC-FE-STR-004,Frontend-Store,P1,Store có token nhưng authService.getCurrentUser reject lỗi,Gọi authStore.fetchCurrentUser(),Tự động trigger logout(): token và user bị xóa router.push('/login') được gọi,Chưa thực thi,PENDING,-
TC-FE-STR-005,Frontend-Store,P1,Store đang có token và user,Gọi authStore.logout(),token=null user=null localStorage xóa token router.push('/login') được gọi,Chưa thực thi,PENDING,-
TC-FE-RTG-001,Frontend-RouterGuard,P1,authStore.isAuthenticated = false,Chuyển hướng router tới /dashboard hoặc /admin,Navigation guard chặn lại và chuyển hướng về { name: 'login' },Chưa thực thi,PENDING,-
TC-FE-RTG-002,Frontend-RouterGuard,P2,authStore.isAuthenticated = true,Chuyển hướng router tới /login hoặc /register,Navigation guard chặn lại và chuyển hướng về { name: 'dashboard' },Chưa thực thi,PENDING,-
TC-FE-RTG-003,Frontend-RouterGuard,P1,authStore.isAuthenticated = true và authStore.isAdmin = false,Chuyển hướng router tới /admin,Navigation guard chặn lại và chuyển hướng về { name: 'dashboard' },Chưa thực thi,PENDING,-
TC-FE-RTG-004,Frontend-RouterGuard,P1,authStore.isAuthenticated = true và authStore.isAdmin = true,Chuyển hướng router tới /admin,Navigation guard cho phép truy cập (/admin),Chưa thực thi,PENDING,-
TC-FE-RTG-005,Frontend-RouterGuard,P2,authStore.isAuthenticated = true và authStore.user = null,Chuyển hướng router tới bất kỳ route nào,Guard gọi await auth.fetchCurrentUser() nạp thông tin user trước khi điều hướng,Chưa thực thi,PENDING,-
TC-FE-AXI-001,Frontend-AxiosClient,P1,localStorage có token='test-token',Thực thi Axios Request Interceptor,Header Authorization mang giá trị 'Bearer test-token',Chưa thực thi,PENDING,-
TC-FE-AXI-002,Frontend-AxiosClient,P2,localStorage không có token,Thực thi Axios Request Interceptor,Header Authorization không được gắn (undefined),Chưa thực thi,PENDING,-
TC-FE-AXI-003,Frontend-AxiosClient,P0,localStorage có token,Thực thi Axios Response Interceptor với lỗi status 401,localStorage xóa token window.location.href='/login' Promise reject error,Chưa thực thi,PENDING,-
TC-FE-AXI-004,Frontend-AxiosClient,P2,localStorage có token='test-token',Thực thi Axios Response Interceptor với lỗi status 403 hoặc 500,Token trong localStorage được giữ nguyên không redirect Promise reject error,Chưa thực thi,PENDING,-
TC-E2E-001,E2E,P0,Frontend và Backend đang chạy bình thường,Vào /register điền form hợp lệ submit chuyển sang /dashboard,Tạo tài khoản thành công chuyển hướng /dashboard hiển thị đúng hồ sơ và vai trò USER,Chưa thực thi,PENDING,-
TC-E2E-002,E2E,P0,Đăng nhập với tài khoản role=USER đang ở /dashboard,Nhập trực tiếp URL /admin trên trình duyệt,Bị chặn ngay tại router guard và tự động redirect về /dashboard không hiển thị bảng admin,Chưa thực thi,PENDING,-
TC-E2E-003,E2E,P1,Tài khoản đã tồn tại trong hệ thống,Vào /login đăng nhập thành công vào /dashboard sau đó bấm Đăng xuất,Đăng xuất thành công token bị xóa chuyển hướng về /login không thể back lại dashboard,Chưa thực thi,PENDING,-
